split,id
train,ARC-Challenge/train/ACTAAP_2007_7_23
train,ARC-Challenge/train/ACTAAP_2009_5_13
train,ARC-Challenge/train/ACTAAP_2011_5_15
train,ARC-Challenge/train/ACTAAP_2011_5_9
train,ARC-Challenge/train/ACTAAP_2012_7_10
train,ARC-Challenge/train/ACTAAP_2012_7_4
train,ARC-Challenge/train/ACTAAP_2013_5_14
train,ARC-Challenge/train/ACTAAP_2013_7_6
train,ARC-Challenge/train/ACTAAP_2014_5_1
train,ARC-Challenge/train/ACTAAP_2014_7_11
train,ARC-Challenge/train/ACTAAP_2015_7_8
train,ARC-Challenge/train/AIMS_2008_4_2
train,ARC-Challenge/train/AIMS_2009_8_9
train,ARC-Challenge/train/AKDE&ED_2008_4_21
train,ARC-Challenge/train/AKDE&ED_2008_4_37
train,ARC-Challenge/train/AKDE&ED_2008_8_11
train,ARC-Challenge/train/AKDE&ED_2008_8_25
train,ARC-Challenge/train/AKDE&ED_2008_8_9
train,ARC-Challenge/train/AKDE&ED_2012_4_17
train,ARC-Challenge/train/AKDE&ED_2012_4_33
train,ARC-Challenge/train/AKDE&ED_2012_8_37
train,ARC-Challenge/train/AKDE&ED_2012_8_5
train,ARC-Challenge/train/CSZ30494
train,ARC-Challenge/train/CSZ30564
train,ARC-Challenge/train/CSZ_2004_5_CSZ20414
train,ARC-Challenge/train/LEAP_2001_8_10381
train,ARC-Challenge/train/LEAP_2004_4_10259
train,ARC-Challenge/train/LEAP__7_10344
train,ARC-Challenge/train/LEAP__7_10356
train,ARC-Challenge/train/MCAS_1998_8_4
train,ARC-Challenge/train/MCAS_1998_8_7
train,ARC-Challenge/train/MCAS_1998_8_8
train,ARC-Challenge/train/MCAS_1999_4_2
train,ARC-Challenge/train/MCAS_2000_4_4
train,ARC-Challenge/train/MCAS_2000_8_27
train,ARC-Challenge/train/MCAS_2001_8_13
train,ARC-Challenge/train/MCAS_2002_8_15
train,ARC-Challenge/train/MCAS_2003_5_6
train,ARC-Challenge/train/MCAS_2003_8_14
train,ARC-Challenge/train/MCAS_2004_8_17
train,ARC-Challenge/train/MCAS_2004_8_36
train,ARC-Challenge/train/MCAS_2004_9_1
train,ARC-Challenge/train/MCAS_2004_9_20-v1
train,ARC-Challenge/train/MCAS_2005_8_4
train,ARC-Challenge/train/MCAS_2005_9_20
train,ARC-Challenge/train/MCAS_2006_9_20
train,ARC-Challenge/train/MCAS_2006_9_42-v1
train,ARC-Challenge/train/MCAS_2006_9_5-v1
train,ARC-Challenge/train/MCAS_2007_8_5169
train,ARC-Challenge/train/MCAS_2007_8_5171
train,ARC-Challenge/train/MCAS_2008_5_5625
train,ARC-Challenge/train/MCAS_2008_5_5634
train,ARC-Challenge/train/MCAS_2008_8_5711
train,ARC-Challenge/train/MCAS_2008_8_5719
train,ARC-Challenge/train/MCAS_2010_5_11983
train,ARC-Challenge/train/MCAS_8_2014_14
train,ARC-Challenge/train/MDSA_2007_5_15
train,ARC-Challenge/train/MDSA_2007_5_50
train,ARC-Challenge/train/MDSA_2007_8_16
train,ARC-Challenge/train/MDSA_2007_8_19
train,ARC-Challenge/train/MDSA_2008_5_16
train,ARC-Challenge/train/MDSA_2009_4_18
train,ARC-Challenge/train/MDSA_2010_4_1
train,ARC-Challenge/train/MDSA_2010_5_2
train,ARC-Challenge/train/MDSA_2011_4_12
train,ARC-Challenge/train/MEAP_2005_8_8
train,ARC-Challenge/train/MEA_2010_8_7
train,ARC-Challenge/train/MEA_2011_8_8
train,ARC-Challenge/train/MEA_2014_5_6
train,ARC-Challenge/train/MEA_2014_5_7
train,ARC-Challenge/train/MEA_2016_8_1
train,ARC-Challenge/train/MEA_2016_8_14
train,ARC-Challenge/train/MSA_2012_5_14
train,ARC-Challenge/train/MSA_2013_5_33
train,ARC-Challenge/train/MSA_2013_5_44
train,ARC-Challenge/train/MSA_2015_5_46
train,ARC-Challenge/train/MSA_2015_8_37
train,ARC-Challenge/train/Mercury_175858
train,ARC-Challenge/train/Mercury_177328
train,ARC-Challenge/train/Mercury_178763
train,ARC-Challenge/train/Mercury_182018
train,ARC-Challenge/train/Mercury_186218
train,ARC-Challenge/train/Mercury_187075
train,ARC-Challenge/train/Mercury_187618
train,ARC-Challenge/train/Mercury_189560
train,ARC-Challenge/train/Mercury_192763
train,ARC-Challenge/train/Mercury_400350
train,ARC-Challenge/train/Mercury_400639
train,ARC-Challenge/train/Mercury_400940
train,ARC-Challenge/train/Mercury_401790
train,ARC-Challenge/train/Mercury_402062
train,ARC-Challenge/train/Mercury_402211
train,ARC-Challenge/train/Mercury_402213
train,ARC-Challenge/train/Mercury_404134
train,ARC-Challenge/train/Mercury_404993
train,ARC-Challenge/train/Mercury_405061
train,ARC-Challenge/train/Mercury_405773
train,ARC-Challenge/train/Mercury_409819
train,ARC-Challenge/train/Mercury_410136
train,ARC-Challenge/train/Mercury_411013
train,ARC-Challenge/train/Mercury_411450
train,ARC-Challenge/train/Mercury_414091
train,ARC-Challenge/train/Mercury_414133
train,ARC-Challenge/train/Mercury_415261
train,ARC-Challenge/train/Mercury_415546
train,ARC-Challenge/train/Mercury_416144
train,ARC-Challenge/train/Mercury_416464
train,ARC-Challenge/train/Mercury_416594
train,ARC-Challenge/train/Mercury_416673
train,ARC-Challenge/train/Mercury_7001523
train,ARC-Challenge/train/Mercury_7005408
train,ARC-Challenge/train/Mercury_7009625
train,ARC-Challenge/train/Mercury_7011358
train,ARC-Challenge/train/Mercury_7012670
train,ARC-Challenge/train/Mercury_7013003
train,ARC-Challenge/train/Mercury_7016818
train,ARC-Challenge/train/Mercury_7016835
train,ARC-Challenge/train/Mercury_7017168
train,ARC-Challenge/train/Mercury_7018480
train,ARC-Challenge/train/Mercury_7024483
train,ARC-Challenge/train/Mercury_7033583
train,ARC-Challenge/train/Mercury_7038430
train,ARC-Challenge/train/Mercury_7038570
train,ARC-Challenge/train/Mercury_7038868
train,ARC-Challenge/train/Mercury_7041160
train,ARC-Challenge/train/Mercury_7041458
train,ARC-Challenge/train/Mercury_7042805
