split,id
train,astronomy/dev/0
train,astronomy/dev/1
train,astronomy/dev/2
train,astronomy/dev/3
train,astronomy/dev/4
train,business_ethics/dev/0
train,business_ethics/dev/1
train,business_ethics/dev/2
train,business_ethics/dev/3
train,business_ethics/dev/4
train,college_biology/dev/0
train,college_biology/dev/1
train,college_biology/dev/2
train,college_biology/dev/3
train,college_biology/dev/4
train,college_chemistry/dev/0
train,college_chemistry/dev/1
train,college_chemistry/dev/2
train,college_chemistry/dev/3
train,college_chemistry/dev/4
train,college_mathematics/dev/0
train,college_mathematics/dev/1
train,college_mathematics/dev/2
train,college_mathematics/dev/3
train,college_mathematics/dev/4
train,college_medicine/dev/0
train,college_medicine/dev/1
train,college_medicine/dev/2
train,college_medicine/dev/3
train,college_medicine/dev/4
train,electrical_engineering/dev/0
train,electrical_engineering/dev/1
train,electrical_engineering/dev/2
train,electrical_engineering/dev/3
train,electrical_engineering/dev/4
train,elementary_mathematics/dev/0
train,elementary_mathematics/dev/1
train,elementary_mathematics/dev/2
train,elementary_mathematics/dev/3
train,elementary_mathematics/dev/4
train,global_facts/dev/0
train,global_facts/dev/1
train,global_facts/dev/2
train,global_facts/dev/3
train,global_facts/dev/4
train,high_school_chemistry/dev/0
train,high_school_chemistry/dev/1
train,high_school_chemistry/dev/2
train,high_school_chemistry/dev/3
train,high_school_chemistry/dev/4
train,high_school_computer_science/dev/0
train,high_school_computer_science/dev/1
train,high_school_computer_science/dev/2
train,high_school_computer_science/dev/3
train,high_school_computer_science/dev/4
train,high_school_european_history/dev/0
train,high_school_european_history/dev/1
train,high_school_european_history/dev/2
train,high_school_european_history/dev/3
train,high_school_european_history/dev/4
train,high_school_geography/dev/0
train,high_school_geography/dev/1
train,high_school_geography/dev/2
train,high_school_geography/dev/3
train,high_school_geography/dev/4
train,high_school_government_and_politics/dev/0
train,high_school_government_and_politics/dev/1
train,high_school_government_and_politics/dev/2
train,high_school_government_and_politics/dev/3
train,high_school_government_and_politics/dev/4
train,high_school_macroeconomics/dev/0
train,high_school_macroeconomics/dev/1
train,high_school_macroeconomics/dev/2
train,high_school_macroeconomics/dev/3
train,high_school_macroeconomics/dev/4
train,high_school_mathematics/dev/0
train,high_school_mathematics/dev/1
train,high_school_mathematics/dev/2
train,high_school_mathematics/dev/3
train,high_school_mathematics/dev/4
train,high_school_microeconomics/dev/0
train,high_school_microeconomics/dev/1
train,high_school_microeconomics/dev/2
train,high_school_microeconomics/dev/3
train,high_school_microeconomics/dev/4
train,high_school_physics/dev/0
train,high_school_physics/dev/1
train,high_school_physics/dev/2
train,high_school_physics/dev/3
train,high_school_physics/dev/4
train,high_school_psychology/dev/0
train,high_school_psychology/dev/1
train,high_school_psychology/dev/2
train,high_school_psychology/dev/3
train,high_school_psychology/dev/4
train,high_school_statistics/dev/0
train,high_school_statistics/dev/1
train,high_school_statistics/dev/2
train,high_school_statistics/dev/3
train,high_school_statistics/dev/4
train,high_school_us_history/dev/0
train,high_school_us_history/dev/1
train,high_school_us_history/dev/2
train,high_school_us_history/dev/3
train,high_school_us_history/dev/4
train,high_school_world_history/dev/0
train,high_school_world_history/dev/1
train,high_school_world_history/dev/2
train,high_school_world_history/dev/3
train,high_school_world_history/dev/4
train,human_aging/dev/0
train,human_aging/dev/1
train,human_aging/dev/2
train,human_aging/dev/3
train,human_aging/dev/4
train,human_sexuality/dev/0
train,human_sexuality/dev/1
train,human_sexuality/dev/2
train,human_sexuality/dev/3
