split,id
train,hellaswag/validation/10027
train,hellaswag/validation/1012
train,hellaswag/validation/1047
train,hellaswag/validation/1058
train,hellaswag/validation/1067
train,hellaswag/validation/1100
train,hellaswag/validation/1172
train,hellaswag/validation/1199
train,hellaswag/validation/1207
train,hellaswag/validation/1322
train,hellaswag/validation/1407
train,hellaswag/validation/1409
train,hellaswag/validation/1452
train,hellaswag/validation/1542
train,hellaswag/validation/1548
train,hellaswag/validation/1611
train,hellaswag/validation/1694
train,hellaswag/validation/1861
train,hellaswag/validation/1950
train,hellaswag/validation/1981
train,hellaswag/validation/2084
train,hellaswag/validation/2190
train,hellaswag/validation/2194
train,hellaswag/validation/2220
train,hellaswag/validation/2245
train,hellaswag/validation/2298
train,hellaswag/validation/2396
train,hellaswag/validation/2397
train,hellaswag/validation/2416
train,hellaswag/validation/2420
train,hellaswag/validation/2448
train,hellaswag/validation/246
train,hellaswag/validation/251
train,hellaswag/validation/2667
train,hellaswag/validation/269
train,hellaswag/validation/2741
train,hellaswag/validation/2750
train,hellaswag/validation/277
train,hellaswag/validation/2780
train,hellaswag/validation/2788
train,hellaswag/validation/2837
train,hellaswag/validation/2961
train,hellaswag/validation/3009
train,hellaswag/validation/3026
train,hellaswag/validation/3033
train,hellaswag/validation/3035
train,hellaswag/validation/3054
train,hellaswag/validation/3262
train,hellaswag/validation/3291
train,hellaswag/validation/3295
train,hellaswag/validation/3318
train,hellaswag/validation/3336
train,hellaswag/validation/336
train,hellaswag/validation/3362
train,hellaswag/validation/3427
train,hellaswag/validation/3459
train,hellaswag/validation/3499
train,hellaswag/validation/3507
train,hellaswag/validation/3544
train,hellaswag/validation/3556
train,hellaswag/validation/3562
train,hellaswag/validation/3682
train,hellaswag/validation/3691
train,hellaswag/validation/3695
train,hellaswag/validation/3702
train,hellaswag/validation/3727
train,hellaswag/validation/3762
train,hellaswag/validation/3782
train,hellaswag/validation/3823
train,hellaswag/validation/3849
train,hellaswag/validation/3874
train,hellaswag/validation/3879
train,hellaswag/validation/3896
train,hellaswag/validation/3912
train,hellaswag/validation/3917
train,hellaswag/validation/4015
train,hellaswag/validation/4049
train,hellaswag/validation/4073
train,hellaswag/validation/4163
train,hellaswag/validation/4178
train,hellaswag/validation/4181
train,hellaswag/validation/4189
train,hellaswag/validation/4204
train,hellaswag/validation/4217
train,hellaswag/validation/4224
train,hellaswag/validation/4246
train,hellaswag/validation/4257
train,hellaswag/validation/4283
train,hellaswag/validation/429
train,hellaswag/validation/4292
train,hellaswag/validation/4306
train,hellaswag/validation/444
train,hellaswag/validation/4443
train,hellaswag/validation/446
train,hellaswag/validation/4485
train,hellaswag/validation/4488
train,hellaswag/validation/4505
train,hellaswag/validation/4530
train,hellaswag/validation/4576
train,hellaswag/validation/4661
train,hellaswag/validation/4670
train,hellaswag/validation/4676
train,hellaswag/validation/4684
train,hellaswag/validation/4689
train,hellaswag/validation/4704
train,hellaswag/validation/4709
train,hellaswag/validation/4723
train,hellaswag/validation/4725
train,hellaswag/validation/4735
train,hellaswag/validation/474
train,hellaswag/validation/475
train,hellaswag/validation/48
train,hellaswag/validation/4804
train,hellaswag/validation/4812
train,hellaswag/validation/484
train,hellaswag/validation/4886
train,hellaswag/validation/4898
train,hellaswag/validation/4904
train,hellaswag/validation/4920
train,hellaswag/validation/4929
train,hellaswag/validation/4952
train,hellaswag/validation/5014
train,hellaswag/validation/503
train,hellaswag/validation/5090
train,hellaswag/validation/5160
train,hellaswag/validation/5167
train,hellaswag/validation/5178
train,hellaswag/validation/5208
train,hellaswag/validation/5306
train,hellaswag/validation/5343
train,hellaswag/validation/5365
train,hellaswag/validation/5372
train,hellaswag/validation/5389
train,hellaswag/validation/5392
train,hellaswag/validation/5394
train,hellaswag/validation/5434
train,hellaswag/validation/5436
train,hellaswag/validation/5458
train,hellaswag/validation/5487
train,hellaswag/validation/5546
train,hellaswag/validation/5564
train,hellaswag/validation/5574
train,hellaswag/validation/5580
train,hellaswag/validation/5591
train,hellaswag/validation/5598
train,hellaswag/validation/5638
train,hellaswag/validation/5647
train,hellaswag/validation/5657
train,hellaswag/validation/5682
train,hellaswag/validation/5685
train,hellaswag/validation/5698
train,hellaswag/validation/5708
train,hellaswag/validation/5724
train,hellaswag/validation/5737
train,hellaswag/validation/5785
train,hellaswag/validation/5875
train,hellaswag/validation/5918
train,hellaswag/validation/5932
train,hellaswag/validation/5933
train,hellaswag/validation/5936
train,hellaswag/validation/6021
train,hellaswag/validation/6038
train,hellaswag/validation/6192
train,hellaswag/validation/6255
train,hellaswag/validation/6262
train,hellaswag/validation/6266
train,hellaswag/validation/6296
train,hellaswag/validation/6309
train,hellaswag/validation/6398
train,hellaswag/validation/6432
train,hellaswag/validation/6507
train,hellaswag/validation/6586
train,hellaswag/validation/6615
train,hellaswag/validation/6616
train,hellaswag/validation/664
train,hellaswag/validation/6687
train,hellaswag/validation/6702
train,hellaswag/validation/6704
train,hellaswag/validation/6736
train,hellaswag/validation/6740
train,hellaswag/validation/6755
train,hellaswag/validation/6771
train,hellaswag/validation/6845
train,hellaswag/validation/6900
train,hellaswag/validation/6917
train,hellaswag/validation/6919
train,hellaswag/validation/6934
train,hellaswag/validation/6945
train,hellaswag/validation/6975
train,hellaswag/validation/7002
train,hellaswag/validation/7019
train,hellaswag/validation/709
train,hellaswag/validation/7104
train,hellaswag/validation/7115
train,hellaswag/validation/7128
train,hellaswag/validation/7187
train,hellaswag/validation/7215
train,hellaswag/validation/7419
train,hellaswag/validation/7475
train,hellaswag/validation/7491
train,hellaswag/validation/7493
train,hellaswag/validation/7502
train,hellaswag/validation/7529
train,hellaswag/validation/7590
train,hellaswag/validation/760
train,hellaswag/validation/7624
train,hellaswag/validation/7628
train,hellaswag/validation/7657
train,hellaswag/validation/7664
train,hellaswag/validation/7676
train,hellaswag/validation/770
train,hellaswag/validation/7712
train,hellaswag/validation/7738
train,hellaswag/validation/7780
train,hellaswag/validation/7783
train,hellaswag/validation/7797
train,hellaswag/validation/7808
train,hellaswag/validation/7829
train,hellaswag/validation/7845
train,hellaswag/validation/7846
train,hellaswag/validation/7901
train,hellaswag/validation/7965
train,hellaswag/validation/7972
train,hellaswag/validation/8008
train,hellaswag/validation/8014
train,hellaswag/validation/8029
train,hellaswag/validation/8055
train,hellaswag/validation/8057
train,hellaswag/validation/8110
train,hellaswag/validation/8121
train,hellaswag/validation/8204
train,hellaswag/validation/8206
train,hellaswag/validation/8210
train,hellaswag/validation/8224
train,hellaswag/validation/8241
train,hellaswag/validation/8257
train,hellaswag/validation/8271
train,hellaswag/validation/828
train,hellaswag/validation/8285
train,hellaswag/validation/8323
train,hellaswag/validation/8348
train,hellaswag/validation/8354
train,hellaswag/validation/8381
train,hellaswag/validation/8392
train,hellaswag/validation/8421
train,hellaswag/validation/8512
train,hellaswag/validation/8519
train,hellaswag/validation/8559
train,hellaswag/validation/8563
train,hellaswag/validation/8581
train,hellaswag/validation/8628
train,hellaswag/validation/8635
train,hellaswag/validation/8667
train,hellaswag/validation/8709
train,hellaswag/validation/8747
train,hellaswag/validation/8752
train,hellaswag/validation/8760
train,hellaswag/validation/883
train,hellaswag/validation/8833
train,hellaswag/validation/8899
train,hellaswag/validation/8902
train,hellaswag/validation/8909
train,hellaswag/validation/8929
train,hellaswag/validation/8948
train,hellaswag/validation/9005
train,hellaswag/validation/9062
train,hellaswag/validation/9084
train,hellaswag/validation/9103
train,hellaswag/validation/9111
train,hellaswag/validation/9139
train,hellaswag/validation/9150
train,hellaswag/validation/919
train,hellaswag/validation/9213
train,hellaswag/validation/9221
train,hellaswag/validation/9247
train,hellaswag/validation/9273
train,hellaswag/validation/9336
train,hellaswag/validation/9337
train,hellaswag/validation/9386
train,hellaswag/validation/9507
train,hellaswag/validation/9509
train,hellaswag/validation/9555
train,hellaswag/validation/9562
train,hellaswag/validation/9573
train,hellaswag/validation/9667
train,hellaswag/validation/9684
train,hellaswag/validation/9688
train,hellaswag/validation/9701
train,hellaswag/validation/9717
train,hellaswag/validation/975
train,hellaswag/validation/9750
train,hellaswag/validation/9753
train,hellaswag/validation/9799
train,hellaswag/validation/9840
train,hellaswag/validation/9846
train,hellaswag/validation/9850
train,hellaswag/validation/9877
train,hellaswag/validation/9913
train,hellaswag/validation/9917
train,hellaswag/validation/9980
test,hellaswag/validation/10004
test,hellaswag/validation/10013
test,hellaswag/validation/10029
test,hellaswag/validation/1084
test,hellaswag/validation/1108
test,hellaswag/validation/113
test,hellaswag/validation/1187
test,hellaswag/validation/121
test,hellaswag/validation/1271
test,hellaswag/validation/134
test,hellaswag/validation/1350
test,hellaswag/validation/1422
test,hellaswag/validation/1493
test,hellaswag/validation/15
test,hellaswag/validation/154
test,hellaswag/validation/1559
test,hellaswag/validation/1575
test,hellaswag/validation/160
test,hellaswag/validation/1622
test,hellaswag/validation/1668
test,hellaswag/validation/1724
test,hellaswag/validation/1730
test,hellaswag/validation/185
test,hellaswag/validation/1882
test,hellaswag/validation/1970
test,hellaswag/validation/198
test,hellaswag/validation/1988
test,hellaswag/validation/2007
test,hellaswag/validation/2050
test,hellaswag/validation/2058
test,hellaswag/validation/2124
test,hellaswag/validation/213
test,hellaswag/validation/2188
test,hellaswag/validation/2226
test,hellaswag/validation/223
test,hellaswag/validation/2246
test,hellaswag/validation/2269
test,hellaswag/validation/2274
test,hellaswag/validation/2284
test,hellaswag/validation/2286
test,hellaswag/validation/2299
test,hellaswag/validation/2310
test,hellaswag/validation/2319
test,hellaswag/validation/2444
test,hellaswag/validation/2494
test,hellaswag/validation/254
test,hellaswag/validation/255
test,hellaswag/validation/257
test,hellaswag/validation/2704
test,hellaswag/validation/2714
test,hellaswag/validation/2742
test,hellaswag/validation/2749
test,hellaswag/validation/2800
test,hellaswag/validation/2840
test,hellaswag/validation/2860
test,hellaswag/validation/2870
test,hellaswag/validation/2878
test,hellaswag/validation/2888
test,hellaswag/validation/2898
test,hellaswag/validation/2916
test,hellaswag/validation/2921
test,hellaswag/validation/2942
test,hellaswag/validation/299
test,hellaswag/validation/3027
test,hellaswag/validation/308
test,hellaswag/validation/3115
test,hellaswag/validation/3171
test,hellaswag/validation/3237
test,hellaswag/validation/3243
test,hellaswag/validation/3264
test,hellaswag/validation/3283
test,hellaswag/validation/3335
test,hellaswag/validation/3393
test,hellaswag/validation/3394
test,hellaswag/validation/3405
test,hellaswag/validation/3411
test,hellaswag/validation/3425
test,hellaswag/validation/3441
test,hellaswag/validation/3469
test,hellaswag/validation/3501
test,hellaswag/validation/3505
test,hellaswag/validation/3528
test,hellaswag/validation/3559
test,hellaswag/validation/3575
test,hellaswag/validation/3589
test,hellaswag/validation/3632
test,hellaswag/validation/3644
test,hellaswag/validation/3653
test,hellaswag/validation/3666
test,hellaswag/validation/3680
test,hellaswag/validation/3684
test,hellaswag/validation/3693
test,hellaswag/validation/3751
test,hellaswag/validation/3788
test,hellaswag/validation/3819
test,hellaswag/validation/3830
test,hellaswag/validation/3835
test,hellaswag/validation/3853
test,hellaswag/validation/3862
test,hellaswag/validation/3927
test,hellaswag/validation/3931
test,hellaswag/validation/3955
test,hellaswag/validation/396
test,hellaswag/validation/3965
test,hellaswag/validation/3992
test,hellaswag/validation/4032
test,hellaswag/validation/4034
test,hellaswag/validation/4039
test,hellaswag/validation/4052
test,hellaswag/validation/4061
test,hellaswag/validation/4068
test,hellaswag/validation/4069
test,hellaswag/validation/4076
test,hellaswag/validation/4096
test,hellaswag/validation/4160
test,hellaswag/validation/4161
test,hellaswag/validation/4223
test,hellaswag/validation/4254
test,hellaswag/validation/4255
test,hellaswag/validation/4304
test,hellaswag/validation/4312
test,hellaswag/validation/4342
test,hellaswag/validation/4383
test,hellaswag/validation/4427
test,hellaswag/validation/4438
test,hellaswag/validation/4451
test,hellaswag/validation/4457
test,hellaswag/validation/4462
test,hellaswag/validation/4467
test,hellaswag/validation/448
test,hellaswag/validation/45
test,hellaswag/validation/4528
test,hellaswag/validation/4546
test,hellaswag/validation/4568
test,hellaswag/validation/4597
test,hellaswag/validation/4640
test,hellaswag/validation/466
test,hellaswag/validation/4683
test,hellaswag/validation/4696
test,hellaswag/validation/4708
test,hellaswag/validation/4712
test,hellaswag/validation/4738
test,hellaswag/validation/4764
test,hellaswag/validation/4766
test,hellaswag/validation/4783
test,hellaswag/validation/4794
test,hellaswag/validation/4805
test,hellaswag/validation/4876
test,hellaswag/validation/4897
test,hellaswag/validation/4912
test,hellaswag/validation/4961
test,hellaswag/validation/4989
test,hellaswag/validation/5001
test,hellaswag/validation/5046
test,hellaswag/validation/5060
test,hellaswag/validation/5083
test,hellaswag/validation/5095
test,hellaswag/validation/5115
test,hellaswag/validation/5176
test,hellaswag/validation/5193
test,hellaswag/validation/5249
test,hellaswag/validation/5254
test,hellaswag/validation/5275
test,hellaswag/validation/5298
test,hellaswag/validation/5375
test,hellaswag/validation/5377
test,hellaswag/validation/5390
test,hellaswag/validation/5403
test,hellaswag/validation/5442
test,hellaswag/validation/5477
test,hellaswag/validation/5498
test,hellaswag/validation/5500
test,hellaswag/validation/5522
test,hellaswag/validation/555
test,hellaswag/validation/556
test,hellaswag/validation/5583
test,hellaswag/validation/5610
test,hellaswag/validation/5617
test,hellaswag/validation/5639
test,hellaswag/validation/5652
test,hellaswag/validation/5701
test,hellaswag/validation/5718
test,hellaswag/validation/5748
test,hellaswag/validation/5749
test,hellaswag/validation/5761
test,hellaswag/validation/5776
test,hellaswag/validation/5798
test,hellaswag/validation/5800
test,hellaswag/validation/5818
test,hellaswag/validation/5852
test,hellaswag/validation/5861
test,hellaswag/validation/5869
test,hellaswag/validation/5873
test,hellaswag/validation/5926
test,hellaswag/validation/5962
test,hellaswag/validation/6051
test,hellaswag/validation/6083
test,hellaswag/validation/6107
test,hellaswag/validation/6116
test,hellaswag/validation/6124
test,hellaswag/validation/6149
test,hellaswag/validation/62
test,hellaswag/validation/6236
test,hellaswag/validation/6241
test,hellaswag/validation/6281
test,hellaswag/validation/6301
test,hellaswag/validation/6310
test,hellaswag/validation/6313
test,hellaswag/validation/6371
test,hellaswag/validation/6383
test,hellaswag/validation/6393
test,hellaswag/validation/6407
test,hellaswag/validation/6443
test,hellaswag/validation/6449
test,hellaswag/validation/6456
test,hellaswag/validation/6495
test,hellaswag/validation/6497
test,hellaswag/validation/6532
test,hellaswag/validation/6551
test,hellaswag/validation/6552
test,hellaswag/validation/6584
test,hellaswag/validation/6614
test,hellaswag/validation/6633
test,hellaswag/validation/6648
test,hellaswag/validation/6650
test,hellaswag/validation/6651
test,hellaswag/validation/6677
test,hellaswag/validation/6699
test,hellaswag/validation/6732
test,hellaswag/validation/6742
test,hellaswag/validation/6773
test,hellaswag/validation/6784
test,hellaswag/validation/6798
test,hellaswag/validation/6819
test,hellaswag/validation/6850
test,hellaswag/validation/6851
test,hellaswag/validation/6863
test,hellaswag/validation/6873
test,hellaswag/validation/6878
test,hellaswag/validation/6885
test,hellaswag/validation/6888
test,hellaswag/validation/6910
test,hellaswag/validation/6938
test,hellaswag/validation/6946
test,hellaswag/validation/6959
test,hellaswag/validation/6973
test,hellaswag/validation/6978
test,hellaswag/validation/6994
test,hellaswag/validation/7007
test,hellaswag/validation/7016
test,hellaswag/validation/7047
test,hellaswag/validation/7050
test,hellaswag/validation/706
test,hellaswag/validation/7087
test,hellaswag/validation/7089
test,hellaswag/validation/710
test,hellaswag/validation/7100
test,hellaswag/validation/7107
test,hellaswag/validation/714
test,hellaswag/validation/7170
test,hellaswag/validation/7174
test,hellaswag/validation/7199
test,hellaswag/validation/7206
test,hellaswag/validation/7229
test,hellaswag/validation/7272
test,hellaswag/validation/73
test,hellaswag/validation/7312
test,hellaswag/validation/7328
test,hellaswag/validation/7404
test,hellaswag/validation/7464
test,hellaswag/validation/7473
test,hellaswag/validation/7522
test,hellaswag/validation/7531
test,hellaswag/validation/7549
test,hellaswag/validation/7592
test,hellaswag/validation/7599
test,hellaswag/validation/7661
test,hellaswag/validation/7670
test,hellaswag/validation/7704
test,hellaswag/validation/7720
test,hellaswag/validation/7727
test,hellaswag/validation/7749
test,hellaswag/validation/7761
test,hellaswag/validation/7774
test,hellaswag/validation/7795
test,hellaswag/validation/7798
test,hellaswag/validation/7827
test,hellaswag/validation/7835
test,hellaswag/validation/7877
test,hellaswag/validation/7878
test,hellaswag/validation/7902
test,hellaswag/validation/7905
test,hellaswag/validation/7920
test,hellaswag/validation/7923
test,hellaswag/validation/7931
test,hellaswag/validation/7953
test,hellaswag/validation/7997
test,hellaswag/validation/8012
test,hellaswag/validation/8015
test,hellaswag/validation/8019
test,hellaswag/validation/8021
test,hellaswag/validation/8032
test,hellaswag/validation/8062
test,hellaswag/validation/8064
test,hellaswag/validation/8102
test,hellaswag/validation/8122
test,hellaswag/validation/8149
test,hellaswag/validation/8181
test,hellaswag/validation/8237
test,hellaswag/validation/8251
test,hellaswag/validation/830
test,hellaswag/validation/8315
test,hellaswag/validation/8332
test,hellaswag/validation/8344
test,hellaswag/validation/8345
test,hellaswag/validation/8355
test,hellaswag/validation/8369
test,hellaswag/validation/840
test,hellaswag/validation/8411
test,hellaswag/validation/8511
test,hellaswag/validation/852
test,hellaswag/validation/8550
test,hellaswag/validation/8597
test,hellaswag/validation/8604
test,hellaswag/validation/8618
test,hellaswag/validation/8642
test,hellaswag/validation/8720
test,hellaswag/validation/8749
test,hellaswag/validation/8763
test,hellaswag/validation/8798
test,hellaswag/validation/8799
test,hellaswag/validation/8804
test,hellaswag/validation/8813
test,hellaswag/validation/8818
test,hellaswag/validation/8823
test,hellaswag/validation/8826
test,hellaswag/validation/8884
test,hellaswag/validation/8919
test,hellaswag/validation/8971
test,hellaswag/validation/8998
test,hellaswag/validation/9015
test,hellaswag/validation/9042
test,hellaswag/validation/9046
test,hellaswag/validation/9078
test,hellaswag/validation/9092
test,hellaswag/validation/9093
test,hellaswag/validation/9109
test,hellaswag/validation/9127
test,hellaswag/validation/9167
test,hellaswag/validation/9182
test,hellaswag/validation/9199
test,hellaswag/validation/9214
test,hellaswag/validation/9220
test,hellaswag/validation/9241
test,hellaswag/validation/9246
test,hellaswag/validation/9298
test,hellaswag/validation/9304
test,hellaswag/validation/9308
test,hellaswag/validation/9349
test,hellaswag/validation/9362
test,hellaswag/validation/9410
test,hellaswag/validation/9417
test,hellaswag/validation/9425
test,hellaswag/validation/9430
test,hellaswag/validation/9461
test,hellaswag/validation/9483
test,hellaswag/validation/9504
test,hellaswag/validation/9522
test,hellaswag/validation/9577
test,hellaswag/validation/959
test,hellaswag/validation/9592
test,hellaswag/validation/9610
test,hellaswag/validation/9612
test,hellaswag/validation/9617
test,hellaswag/validation/9619
test,hellaswag/validation/9652
test,hellaswag/validation/9708
test,hellaswag/validation/9724
test,hellaswag/validation/9726
test,hellaswag/validation/9737
test,hellaswag/validation/9741
test,hellaswag/validation/9742
test,hellaswag/validation/9765
test,hellaswag/validation/9776
test,hellaswag/validation/9779
test,hellaswag/validation/9781
test,hellaswag/validation/9789
test,hellaswag/validation/9791
test,hellaswag/validation/9796
test,hellaswag/validation/9812
test,hellaswag/validation/9830
test,hellaswag/validation/9838
test,hellaswag/validation/9849
test,hellaswag/validation/9857
test,hellaswag/validation/9883
test,hellaswag/validation/9884
test,hellaswag/validation/9901
test,hellaswag/validation/9922
test,hellaswag/validation/9982
test,hellaswag/validation/9988
