split,id
train,2
train,5
train,8
train,9
train,10
train,13
train,14
train,16
train,17
train,23
train,24
train,28
train,33
train,36
train,39
train,40
train,42
train,43
train,45
train,49
train,50
train,56
train,58
train,63
train,64
train,74
train,78
train,85
train,86
train,88
train,92
train,101
train,105
train,106
train,110
train,115
train,118
train,119
train,124
train,129
train,130
train,132
train,137
train,138
train,140
train,147
train,148
train,149
train,150
train,152
train,155
train,158
train,162
train,164
train,171
train,172
train,173
train,174
train,176
train,177
train,180
train,184
train,185
train,188
train,190
train,191
train,192
train,193
train,197
train,198
train,200
train,201
train,207
train,209
train,212
train,213
train,215
train,221
train,222
train,227
train,229
train,231
train,236
train,237
train,239
train,241
train,247
train,251
train,256
train,261
train,262
train,263
train,264
train,265
train,266
train,268
train,272
train,280
train,290
train,292
train,293
train,294
train,295
train,297
train,301
train,302
train,303
train,307
train,310
train,311
train,312
train,315
train,316
train,320
train,321
train,325
train,327
train,329
train,333
train,335
train,337
train,340
train,349
train,350
train,354
train,355
train,357
train,358
train,359
train,364
train,365
train,368
train,369
train,372
train,375
train,377
train,378
train,381
train,385
train,386
train,391
train,392
train,395
train,397
train,399
train,402
train,403
train,404
train,406
train,407
train,409
train,411
train,413
train,414
train,417
train,418
train,419
train,421
train,422
train,423
train,427
train,430
train,431
train,437
train,440
train,443
train,446
train,447
train,450
train,451
train,452
train,454
train,455
train,456
train,458
train,463
train,466
train,468
train,471
train,472
train,476
train,477
train,482
train,483
train,488
train,489
train,491
train,492
train,493
train,495
train,496
train,501
train,503
train,504
train,506
train,507
train,508
train,510
train,514
train,516
train,518
train,520
train,522
train,523
train,524
train,527
train,530
train,532
train,534
train,537
train,538
train,539
train,542
train,547
train,550
train,553
train,554
train,555
train,557
train,560
train,563
train,568
train,569
train,572
train,575
train,576
train,581
train,583
train,584
train,585
train,586
train,589
train,596
train,602
train,606
train,609
train,611
train,612
train,614
train,615
train,617
train,620
train,621
train,624
train,626
train,627
train,628
train,631
train,632
train,634
train,638
train,640
train,641
train,642
train,644
train,647
train,651
train,659
train,661
train,664
train,670
train,674
train,676
train,678
train,681
train,683
train,685
train,687
train,688
train,690
train,694
train,695
train,699
train,700
train,701
train,704
train,705
train,706
train,707
train,709
train,711
train,712
train,716
train,719
train,720
train,723
train,727
train,729
train,731
train,737
train,739
train,743
train,749
train,750
train,753
train,761
train,762
train,766
train,768
train,769
test,0
test,1
test,3
test,4
test,7
test,11
test,12
test,15
test,18
test,19
test,20
test,21
test,22
test,26
test,29
test,31
test,34
test,35
test,37
test,38
test,41
test,47
test,48
test,51
test,52
test,53
test,54
test,55
test,57
test,59
test,60
test,61
test,62
test,65
test,66
test,67
test,68
test,69
test,70
test,72
test,73
test,75
test,76
test,77
test,79
test,82
test,83
test,84
test,87
test,90
test,91
test,93
test,96
test,97
test,98
test,100
test,102
test,107
test,108
test,109
test,111
test,112
test,113
test,116
test,117
test,120
test,121
test,122
test,123
test,125
test,126
test,128
test,131
test,133
test,134
test,135
test,136
test,139
test,141
test,143
test,144
test,145
test,146
test,151
test,153
test,154
test,156
test,157
test,160
test,161
test,165
test,166
test,167
test,168
test,169
test,170
test,175
test,178
test,179
test,181
test,182
test,183
test,186
test,187
test,189
test,194
test,195
test,199
test,202
test,204
test,205
test,206
test,208
test,210
test,211
test,214
test,216
test,217
test,218
test,219
test,224
test,226
test,230
test,232
test,234
test,235
test,240
test,242
test,243
test,244
test,245
test,246
test,248
test,249
test,252
test,253
test,254
test,255
test,257
test,258
test,259
test,260
test,267
test,269
test,271
test,273
test,274
test,275
test,276
test,277
test,278
test,279
test,282
test,283
test,285
test,286
test,287
test,288
test,289
test,291
test,298
test,299
test,304
test,305
test,306
test,308
test,309
test,313
test,314
test,317
test,318
test,319
test,322
test,323
test,324
test,326
test,328
test,330
test,331
test,332
test,334
test,336
test,338
test,339
test,341
test,342
test,343
test,345
test,346
test,347
test,351
test,353
test,356
test,360
test,361
test,362
test,363
test,366
test,371
test,373
test,374
test,376
test,379
test,380
test,382
test,383
test,384
test,388
test,390
test,393
test,394
test,396
test,398
test,400
test,401
test,405
test,408
test,410
test,412
test,415
test,416
test,420
test,424
test,425
test,426
test,428
test,433
test,434
test,435
test,436
test,438
test,439
test,441
test,442
test,444
test,445
test,448
test,449
test,453
test,457
test,460
test,461
test,462
test,464
test,465
test,467
test,469
test,473
test,474
test,475
test,478
test,479
test,480
test,481
test,484
test,485
test,486
test,487
test,490
test,494
test,497
test,498
test,499
test,500
test,502
test,505
test,509
test,511
test,512
test,513
test,515
test,519
test,521
test,525
test,526
test,528
test,529
test,531
test,533
test,535
test,536
test,540
test,541
test,543
test,544
test,545
test,546
test,548
test,551
test,552
test,556
test,559
test,561
test,562
test,564
test,566
test,567
test,570
test,571
test,573
test,577
test,578
test,579
test,580
test,582
test,587
test,588
test,590
test,592
test,593
test,594
test,595
test,597
test,598
test,599
test,600
test,601
test,605
test,607
test,608
test,610
test,613
test,619
test,622
test,623
test,625
test,629
test,630
test,635
test,636
test,637
test,639
test,645
test,646
test,648
test,649
test,650
test,652
test,653
test,655
test,656
test,657
test,658
test,660
test,662
test,663
test,666
test,667
test,668
test,669
test,671
test,672
test,673
test,675
test,679
test,680
test,682
test,684
test,686
test,689
test,691
test,693
test,696
test,697
test,698
test,702
test,703
test,708
test,710
test,713
test,715
test,717
test,721
test,722
test,724
test,725
test,726
test,728
test,730
test,732
test,734
test,735
test,736
test,740
test,741
test,742
test,744
test,745
test,746
test,747
test,748
test,751
test,755
test,756
test,764
test,765
test,767
test,770
test,771
test,772
